地下城,隊伍,角色(中),角色(英),定位,持有,洞,建議套裝,建議主屬,符文★,符文套裝,符文主屬,副屬,效率,現位置
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,1,意志,HP,6★,意志,ATK+160,RES%+8(前) / HP%+15+8磨 / SPD+17+3磨 / HP+401+405磨寶 / ATK%+8+6磨,115.1,Kinki
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,2,絕望,SPD,6★,絕望,SPD+42,CDmg%+13 / HP%+11+8磨寶 / ATK%+15+10磨 / DEF%+19+10磨,114.2,Nana
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,3,絕望,ATK,上古,絕望,DEF+160,ACC%+8(前) / HP+400+521磨 / SPD+22+5磨 / HP%+15+8磨 / DEF%+8+5磨寶,124.7,倉庫
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,4,意志,HP%,上古,意志,HP%+63,RES%+10寶 / HP+332+353磨 / DEF%+19+12磨 / SPD+18+4磨,111.6,Amber
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,5,絕望,DEF,上古,絕望,HP+2448,DEF%+14+11磨 / HP%+10+9磨寶 / SPD+23+5磨 / DEF+15+34磨,125.8,Kinki
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,6,絕望,ACC%,6★,絕望,ACC%+64,SPD+22+5磨 / DEF%+11+10磨寶 / HP%+7+8磨 / ATK%+5+10磨,113.4,倉庫
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,1,迅速,HP,6★,迅速,ATK+160,CRate%+5(前) / CDmg%+10寶 / ATK%+27+7磨 / HP+366+482磨 / SPD+12+4磨,117.4,Shamar
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,2,迅速,SPD,6★,迅速,SPD+42,HP+202+547磨 / ATK%+28+10磨 / CRate%+10 / ATK+32+30磨寶,118,Lagmaron
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,3,意志,ATK,6★,意志,DEF+160,CRate%+6(前) / SPD+16+4磨 / HP%+15+6磨 / DEF%+11+10磨寶 / HP+738+483磨,127.4,Rina
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,4,迅速,HP%,6★,迅速,HP%+63,CDmg%+6(前) / ATK%+8+7磨 / DEF%+11+9磨寶 / SPD+21+4磨 / ACC%+14,115.3,Bastet
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,5,迅速,DEF,6★,迅速,HP+2448,DEF%+8(前) / SPD+22+4磨 / DEF+38+29磨寶 / HP%+5+7磨 / RES%+8,115.6,Konamiya
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,6,意志,HP%,6★,意志,HP%+63,CRate%+6(前) / DEF%+7+10磨 / SPD+23+5磨 / CDmg%+10 / ATK%+11+9磨寶,119.4,Carcano
巨人窟 GB12,破防自動隊,Sabrina,Sabrina,範圍破防,✓,1,迅速,HP,6★,迅速,ATK+160,ATK%+5(前) / HP+545+548磨寶 / ACC%+8 / SPD+21+4磨 / HP%+8+7磨,111.3,Nina Williams
