地下城,隊伍,角色(中),角色(英),定位,持有,目標套裝,湊齊套裝,平均效率,缺洞
巨人窟 GB12,破防自動隊,Veromos,Veromos,破防+持續+淨化,✓,絕望(4)+意志(2),絕望x4 意志x2,117.5,0
巨人窟 GB12,破防自動隊,Bernard,Bernard,回能+攻速,✓,迅速(4)+意志(2),迅速x4 意志x2,118.9,0
巨人窟 GB12,破防自動隊,Sabrina,Sabrina,範圍破防,✓,迅速(4)+集中(2),迅速x4 集中x2,112.2,0
巨人窟 GB12,破防自動隊,Sigmarus,Sigmarus,冰凍+輸出,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,113.9,0
巨人窟 GB12,破防自動隊,Loren,Loren,多段輸出/減攻速,✓,絕望(4)+刀刃(2),絕望x4 刀刃x2,114.4,0
巨人窟 GB12,高速循環隊,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,118.9,0
巨人窟 GB12,高速循環隊,Galleon,Galleon,破防+攻buff,✓,迅速(4)+意志(2),迅速x4 意志x2,113.7,0
巨人窟 GB12,高速循環隊,Verdehile,Verdehile,爆擊回能,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
巨人窟 GB12,高速循環隊,Lushen,Lushen,斬殺輸出,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,112.8,0
巨人窟 GB12,高速循環隊,Veromos,Veromos,淨化+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,117.5,0
巨龍巢穴 DB12,通用隊,Veromos,Veromos,淨化+持續,✓,絕望(4)+意志(2),絕望x4 意志x2,117.7,0
巨龍巢穴 DB12,通用隊,Galleon,Galleon,破防+攻buff,✓,迅速(4)+意志(2),迅速x4 意志x2,117.2,0
巨龍巢穴 DB12,通用隊,Bernard,Bernard,回能,✓,迅速(4)+意志(2),迅速x4 意志x2,114.8,0
巨龍巢穴 DB12,通用隊,Sigmarus,Sigmarus,冰凍控場,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,107.1,0
巨龍巢穴 DB12,通用隊,Lushen,Lushen,範圍斬殺,✓,激怒(4)+刀刃(2),激怒x4 刀刃x2,112.6,0
巨龍巢穴 DB12,雙防破速隊,Chasun,Chasun,奶+回能,✓,迅速(4)+意志(2),迅速x4 意志x2,118.9,0
巨龍巢穴 DB12,雙防破速隊,Sabrina,Sabrina,破防,✓,迅速(4)+集中(2),迅速x4 集中x2,112.2,0
巨龍巢穴 DB12,雙防破速隊,Katarina,Katarina,高輸出,✓,暴走(4)+刀刃(2),暴走x4 刀刃x2,118.0,0
巨龍巢穴 DB12,雙防破速隊,Fran,Fran,免疫+奶,✓,迅速(4)+意志(2),迅速x4 意志x2,113.8,0
