代碼,英文,中文,件數,類型,影響屬性,數值,計入體質,說明
1,Energy,祝福,2,體質(自身),HP%,15,是,HP +15%
2,Guard,守護,2,體質(自身),DEF%,15,是,DEF +15%
3,Swift,迅速,4,體質(自身),SPD%,25,是,SPD +25%
4,Blade,刀刃,2,體質(自身),CR%,12,是,暴擊率 +12%
5,Rage,激怒,4,體質(自身),CD%,40,是,暴擊傷害 +40%
6,Focus,集中,2,體質(自身),ACC%,20,是,效果命中 +20%
7,Endure,忍耐,2,體質(自身),RES%,20,是,效果抵抗 +20%
8,Fatal,猛攻,4,體質(自身),ATK%,35,是,ATK +35%
10,Despair,絕望,2,效果,暈眩,25%,否,25%機率造成1回合暈眩
11,Vampire,吸血,4,效果,吸血,傷害35%,否,恢復對敵人造成傷害的35%體力
13,Violent,暴走,4,效果,追加回合,22%,否,22%機率追加1個回合
14,Nemesis,應報,2,效果,攻擊條,+4%,否,受到7%體力傷害時增加4%攻擊條
15,Will,意志,2,效果,免疫,1回合,否,免疫1回合
16,Shield,保護,2,護盾(體質類不計),護盾,15%HP,否,3回合內給全隊(含自己)15%體力護盾；HP型但不列入體質
17,Revenge,反擊,2,效果,反擊,15%,否,15%機率進行反擊
18,Destroy,破壞,2,效果,破壞HP上限,傷害30%,否,破壞對手體力上限(造成傷害的30%)，最多減少上限的60%
19,Fight,鬥志,2,體質(全隊),ATK%,8,是,給全隊(含自己)ATK +8%
20,Determination,決心,2,體質(全隊),DEF%,8,是,給全隊(含自己)DEF +8%
21,Enhance,剛毅,2,體質(全隊),HP%,8,是,給全隊(含自己)HP +8%
22,Accuracy,命中,2,體質(全隊),ACC%,10,是,給全隊(含自己)效果命中 +10%
23,Tolerance,韌性,2,體質(全隊),RES%,10,是,給全隊(含自己)效果抵抗 +10%
24,Seal,封印,2,效果,封印,25%,否,25%機率上1回合封印(不可疊加)，封印狀態下效果類符文無法發動
25,Intangible,無形,1,補位,補足缺件,-,-,可補充缺失套件的符文，一隻魔靈最多裝1顆
99,Immemorial,遠古,-,遠古,-,-,-,僅魔礦，非可裝配套裝
