代碼,英文,中文,屬性,職業,天生星,自動,覆蓋
30014,51LV3R,,光,支援,5,B,
30013,570RM,,風,攻擊,5,B,
30012,7R1X,駭客,火,支援,5,A,
25611,Aaliyah,,水,支援,5,B,
22211,Abellio,阿貝里歐,水,防禦,5,A,
22311,Abellio,,水,防禦,5,A,
22911,Abigail,,水,攻擊,4,B,
11913,Acasis,,風,支援,4,B,
32315,Actaeon,,暗,防禦,5,B,
20912,Adrian,,火,支援,3,C,
26811,Adriana,亞德里亞娜,水,支援,5,A,
18811,Aegir,,水,攻擊,4,B,
10113,Aeilene,,風,支援,2,D,
10133,Aeilene,,風,支援,2,D,
34212,Agrenia,,火,支援,5,B,
34112,Agrius,,火,攻擊,4,B,
13714,Ahman,,光,體力,3,B,
28014,Ahmed,,光,體力,4,B,
19213,Akhamamir,,風,攻擊,5,A,
13312,Akia,,火,攻擊,4,B,
13814,Akroma,阿卡洛瑪,光,防禦,5,B,
30114,Alesia,,光,攻擊,4,B,
21515,Alexandra,,暗,體力,5,B,
21615,Alexandra,,暗,體力,5,B,
26912,Alice,,火,防禦,5,B,
18911,Alicia,,水,攻擊,5,B,
15211,Allen,,水,體力,2,D,
15231,Allen,,水,體力,2,D,
27314,Altaïr,,光,攻擊,5,B,
15412,Amanda,,火,攻擊,3,C,
20414,Amarna,,光,支援,4,B,
14901,Amazon,,水,攻擊,3,C,
14902,Amazon,,火,攻擊,3,C,
14903,Amazon,,風,攻擊,3,C,
14904,Amazon,,光,攻擊,3,C,
14905,Amazon,,暗,攻擊,3,C,
26111,Amber,安柏,水,攻擊,5,A,
20615,Amduat,,暗,支援,4,B,
21511,Amelia,,水,體力,5,B,
21611,Amelia,,水,體力,5,B,
16111,Anavel,阿納貝爾,水,支援,5,S,
29611,Anders,,水,攻擊,5,B,
11713,Anduril,,風,攻擊,3,C,
11733,Anduril,,風,攻擊,3,B,
26813,Angela,安潔拉,風,支援,5,A,
14201,Angelmon,,水,素材,1,D,
14202,Angelmon,,火,素材,1,D,
14203,Angelmon,,風,素材,1,D,
14204,Angelmon,,光,素材,1,D,
14205,Angelmon,,暗,素材,1,D,
19312,Anne,,火,攻擊,3,C,
16312,Antares,,火,攻擊,4,B,
20401,Anubis,,水,攻擊,4,C,
20402,Anubis,,火,支援,4,C,
20403,Anubis,,風,攻擊,4,C,
20404,Anubis,,光,支援,4,C,
20405,Anubis,,暗,體力,5,B,
19511,Aqcus,,水,攻擊,3,C,
18013,Aquila,,風,攻擊,4,B,
34603,Aragorn,,風,體力,4,C,
34613,Aragorn,,風,體力,4,B,
34604,Aragorn,,光,體力,4,C,
34614,Aragorn,,光,體力,4,B,
34601,Aragorn,,水,體力,5,B,
34611,Aragorn,,水,體力,5,B,
34602,Aragorn,,火,體力,5,B,
34612,Aragorn,,火,體力,5,B,
34605,Aragorn,,暗,體力,5,B,
34615,Aragorn,,暗,體力,5,A,
11213,Arang,,風,攻擊,4,B,
29814,Arcana,,光,支援,4,B,
34001,Arcane Weapon,,水,攻擊,5,B,
34002,Arcane Weapon,,火,支援,5,B,
34003,Arcane Weapon,,風,攻擊,5,B,
34004,Arcane Weapon,,光,體力,5,B,
34005,Arcane Weapon,,暗,攻擊,5,B,
17001,Archangel,,水,支援,5,A,
17002,Archangel,,火,支援,5,A,
17003,Archangel,,風,支援,5,B,
17004,Archangel,,光,支援,5,B,
17005,Archangel,,暗,防禦,5,A,
15413,Ardella,,風,攻擊,3,C,
34214,Arella,,光,支援,5,B,
14713,Argen,,風,攻擊,4,B,
13314,Aria,,光,攻擊,4,B,
26814,Ariana,,光,支援,5,B,
17011,Ariel,,水,支援,5,A,
10414,Arkajan,,光,防禦,2,D,
16212,Arnold,,火,體力,4,B,
23701,Art Master,,水,支援,5,S,
23702,Art Master,,火,支援,5,A,
23703,Art Master,,風,攻擊,5,B,
23704,Art Master,,光,攻擊,5,B,
23705,Art Master,,暗,支援,5,B,
17014,Artamiel,,光,支援,5,B,
34115,Asbolus,,暗,攻擊,4,B,
11815,Aschubel,,暗,攻擊,4,B,
28012,Ashour,,火,體力,5,B,
17914,Asima,,光,攻擊,5,B,
19901,Assassin,,水,攻擊,4,C,
19902,Assassin,,火,攻擊,4,C,
19903,Assassin,,風,攻擊,4,C,
19904,Assassin,,光,攻擊,4,C,
19905,Assassin,,暗,攻擊,4,C,
19812,Astar,,火,攻擊,4,B,
28213,Astrid,,風,支援,4,B,
28501,Asura,,水,攻擊,4,C,
28502,Asura,,火,攻擊,4,C,
28503,Asura,,風,攻擊,4,C,
28504,Asura,,光,攻擊,4,C,
28505,Asura,,暗,體力,4,C,
11612,Atenai,,火,支援,4,B,
26914,Audrey,,光,防禦,5,B,
28114,Aurelia,,光,支援,4,B,
20411,Avaris,,水,攻擊,4,B,
31202,Aya,,火,體力,4,B,
31212,Aya,,火,體力,4,B,
31205,Aya,,暗,攻擊,4,B,
31215,Aya,,暗,攻擊,4,B,
31201,Aya,,水,攻擊,5,B,
31211,Aya,,水,攻擊,5,B,
31203,Aya,,風,體力,5,B,
31213,Aya,,風,體力,5,B,
31204,Aya,,光,體力,5,B,
31214,Aya,,光,體力,5,B,
32501,Azure Dragon Swordsman,,水,攻擊,4,C,
32511,Azure Dragon Swordsman,,水,攻擊,4,B,
32505,Azure Dragon Swordsman,,暗,攻擊,4,C,
32515,Azure Dragon Swordsman,,暗,攻擊,4,B,
32502,Azure Dragon Swordsman,,火,攻擊,5,B,
32512,Azure Dragon Swordsman,,火,攻擊,5,B,
32503,Azure Dragon Swordsman,,風,攻擊,5,B,
32513,Azure Dragon Swordsman,,風,攻擊,5,B,
32504,Azure Dragon Swordsman,,光,攻擊,5,B,
32514,Azure Dragon Swordsman,,光,攻擊,5,B,
18514,Baekdu,,光,攻擊,3,C,
23112,Bael,,火,攻擊,5,B,
22411,Bagir,,水,防禦,3,C,
22014,Bailey,,光,攻擊,4,B,
22612,Baleygr,,火,攻擊,5,B,
23511,Barbara,,水,攻擊,5,B,
23611,Barbara,,水,攻擊,5,B,
18801,Barbaric King,,水,攻擊,4,C,
18802,Barbaric King,,火,攻擊,4,C,
18803,Barbaric King,,風,攻擊,4,B,
18804,Barbaric King,,光,攻擊,4,C,
18805,Barbaric King,,暗,攻擊,4,C,
11812,Baretta,,火,攻擊,4,S,
19413,Barque,,風,攻擊,4,B,
19015,Basalt,,暗,防禦,3,C,
20511,Bastet,,水,支援,5,B,
26101,Battle Angel,,水,攻擊,5,A,
26102,Battle Angel,,火,攻擊,5,B,
26103,Battle Angel,,風,攻擊,5,S,
26104,Battle Angel,,光,攻擊,5,A,
26105,Battle Angel,,暗,攻擊,5,B,
19001,Battle Mammoth,,水,體力,3,C,
19002,Battle Mammoth,,火,體力,3,C,
19003,Battle Mammoth,,風,防禦,3,C,
19004,Battle Mammoth,,光,體力,3,C,
19005,Battle Mammoth,,暗,防禦,3,C,
17601,Battle Scorpion,,水,防禦,2,D,
17602,Battle Scorpion,,火,防禦,2,D,
17603,Battle Scorpion,,風,防禦,2,D,
27511,Bayek,,水,支援,4,B,
27514,Bayek,,光,體力,4,B,
27512,Bayek,巴耶克,火,體力,5,B,
27513,Bayek,巴耶克,風,體力,5,B,
27515,Bayek,,暗,支援,5,B,
13701,Bearman,,水,體力,3,C,
13702,Bearman,,火,體力,3,C,
13703,Bearman,,風,攻擊,3,C,
13704,Bearman,,光,體力,3,B,
13705,Bearman,,暗,體力,3,C,
18501,Beast Hunter,,水,攻擊,3,C,
18502,Beast Hunter,,火,攻擊,3,C,
18503,Beast Hunter,,風,攻擊,3,C,
18504,Beast Hunter,,光,攻擊,3,C,
18505,Beast Hunter,,暗,攻擊,3,C,
17401,Beast Monk,,水,體力,5,A,
17402,Beast Monk,,火,體力,5,B,
17403,Beast Monk,,風,體力,5,B,
17404,Beast Monk,,光,體力,5,B,
17405,Beast Monk,,暗,體力,5,B,
23501,Beast Rider,,水,攻擊,5,B,
23601,Beast Rider,,水,攻擊,5,B,
23502,Beast Rider,,火,攻擊,5,B,
23602,Beast Rider,,火,攻擊,5,B,
23503,Beast Rider,,風,攻擊,5,B,
23603,Beast Rider,,風,攻擊,5,B,
23504,Beast Rider,,光,攻擊,5,B,
23604,Beast Rider,,光,攻擊,5,B,
23505,Beast Rider,,暗,攻擊,5,B,
23605,Beast Rider,,暗,攻擊,5,B,
23115,Beelzebub,別西卜,暗,攻擊,5,S,
32301,Beetle Guardian,,水,防禦,5,B,
32302,Beetle Guardian,,火,防禦,5,B,
32303,Beetle Guardian,,風,防禦,5,B,
32304,Beetle Guardian,,光,防禦,5,B,
32305,Beetle Guardian,,暗,防禦,5,B,
23111,Belial,,水,攻擊,5,B,
21915,Belita,,暗,攻擊,4,B,
22915,Bella,,暗,攻擊,5,A,
11014,Belladeon,,光,防禦,3,S,
11034,Belladeon,,光,防禦,3,S,
22212,Bellenus,,火,防禦,5,B,
22312,Bellenus,,火,防禦,5,B,
25714,Benedict,,光,攻擊,5,B,
24912,Berenice,,火,支援,4,B,
28214,Berghild,,光,攻擊,5,B,
18115,Bering,,暗,攻擊,4,B,
24612,Bernadotte,,火,攻擊,5,B,
11513,Bernard,,風,支援,3,S,
11533,Bernard,,風,支援,3,S,
17911,Beth,,水,攻擊,5,B,
15415,Bethony,,暗,攻擊,4,B,
19615,Betta,,暗,支援,4,B,
29714,Birgitta,,光,攻擊,5,B,
26011,Birman,,水,體力,4,B,
27001,Black Tea Bunny,,水,攻擊,4,C,
27002,Black Tea Bunny,,火,攻擊,4,C,
27003,Black Tea Bunny,,風,攻擊,4,C,
27004,Black Tea Bunny,,光,攻擊,4,C,
27005,Black Tea Bunny,,暗,攻擊,4,C,
32403,Black Tortoise Champion,,風,防禦,5,B,
32413,Black Tortoise Champion,,風,防禦,5,B,
24901,Blade Dancer,,水,攻擊,4,C,
24902,Blade Dancer,,火,支援,4,C,
24903,Blade Dancer,,風,攻擊,4,C,
24904,Blade Dancer,,光,攻擊,4,C,
24905,Blade Dancer,,暗,支援,4,C,
28612,Bloodya,布拉迪雅,火,攻擊,5,B,
