代碼,英文,中文
30012,7R1X,火駭客
36015,Ãbel,
25611,Aaliyah,
22211,Abellio,
22911,Abigail,
11913,Acasis,
20912,Adrian,
26811,Adriana,
18811,Aegir,
34212,Agrenia,
34112,Agrius,
13714,Ahman,
19213,Akhamamir,
30114,Alesia,
26912,Alice,
18911,Alicia,
27314,AltaÃ¯r,
26111,Amber,
20615,Amduat,
21511,Amelia,
16111,Anavel,
26813,Angela,
19312,Anne,
16312,Antares,
18013,Aquila,
34612,Aragorn,
15413,Ardella,
14713,Argen,
13314,Aria,
17011,Ariel,
16212,Arnold,
11815,Aschubel,
28012,Ashour,
17914,Asima,
19812,Astar,
20411,Avaris,
31213,Aya,
23112,Bael,
22014,Bailey,
22612,Baleygr,
23511,Barbara,
11812,Baretta,
19413,Barque,
19015,Basalt,
20511,Bastet,
27514,Bayek,
23111,Belial,
21915,Belita,
11034,Belladeon,
22212,Bellenus,
24612,Bernadotte,
11533,Bernard,
17911,Beth,
26011,Birman,
28612,Bloodya,
22611,Bolverk,
24711,Borgnine,
18912,Brandia,
16213,Briand,
20832,Bulldozer,
28913,Byungchul,
10335,Camaryn,
13811,Camilla,
22713,Carbine,
22712,Carcano,
25712,Carlos,
30112,Carmella,
19315,Cassie,
34011,Cecilia,
13235,Chacha and Friends,
28313,Chakra,
11214,Chamie,
17411,Chandra,
16113,Charlotte,
18313,Chasun,
23713,Cheongpung,
10334,Cheryl,
20711,Chilling,
18612,Chiwu,
15312,Chloe,
16611,Chow,
15414,Chris,
24412,CHUN-LI,
24411,CHUN-LI,
24413,CHUN-LI,
19613,Cichlid,
29312,Ciri,
26112,Claire,
13912,Clara,
25212,Coco,
12112,Colleen,
12132,Colleen,
16214,Conrad,
16513,Copper,
16533,Copper,
24913,Cordelia,
22711,Covenant,
10711,Dagora,
34013,Daisy,
21112,Daphnis,
15234,Darion,
25815,Deborah,
11115,Decamaron,
11613,Delphoi,
30712,Deragron,
21914,Deva,
24311,DHALSIM,
24313,DHALSIM,
24312,DHALSIM,
21513,Diana,
16215,Dias,
21301,Dice Magician,
25713,Dominic,
18714,Dona,
23914,Dongbaek,
24512,Douglas,
21014,Dova,
18114,Dover,
35511,Dr. Felix,
35512,Dr. Matteo,
18012,Draco,
34213,Driana,
20834,Driller,
11715,Drogan,
11735,Drogan,
23015,Eirgar,
27715,Eivor,
27712,Eivor,
27711,Eivor,
17013,Eladriel,
28113,Eleni,
30113,Eliza,
12031,Ellena,
14911,Ellin,
19214,Elsharion,
10131,Elucia,
20904,Elven Ranger,
20111,Emma,
29912,Enshia,
11814,Eredas,
14034,Eshir,
26512,Espresso Cookie,
26513,Espresso Cookie,
17913,Ethna,
29014,Eunbee and Sapsaree,
13914,Eva,
28112,Federica,
16211,Fedora,
17315,Fei,
21213,Feng Yan,
17015,Fermion,
35811,Fern,
35813,Fern,
13414,Figaro,
29715,Fiona,
19114,Fran,
11912,Fria,
35714,Frieren,
19415,Frigate,
34311,Frodo,
16313,Fuco,
27114,Fudge,
25113,Fuuki,
19411,Galleon,
34412,Gandalf,
34411,Gandalf,
21113,Ganymede,
28915,Gapsoo,
13512,Garo,
22614,Geldnir,
18014,Gemini,
29211,Geralt,
32311,Gideon,
18411,Gildong,
13514,Gin,
15935,Gina,
26213,GingerBrave,
25013,Giou,
16315,Grego,
11414,Groggo,
14115,Guillaume,
31713,Gyomei Himejima,
23711,Haegang,
19313,Hannah,
18515,Hanra,
21412,Harmonia,
20513,Hathor,
33012,Heihachi Mishima,
21512,Helena,
10515,Hellea,
16031,Hemos,
29613,Henrik,
22111,Herne,
35611,Himmel,
16033,Hiva,
1000113,Homunculus(Attack),
1000215,Homunculus(Support),
23912,Hongyeon,
18813,Hraesvelg,
17213,Huan,
15512,Hwa,
18414,Hwadam,
18312,Hwahee,
33214,Hwoarang,
33211,Hwoarang,
22115,Hyanes,
11915,Icares,
11031,Icaru,
11614,Icasha,
17812,Igmanodon,
20114,Illianna,
20613,Imesety,
32111,Inosuke Hashibira,
15314,Iona,
19814,Iris,
16532,Iron,
19915,Isabelle,
13315,Isael,
10132,Iselia,
10112,Iselia,
20413,Iunu,
14515,Jaara,
20702,Jack-o'-lantern,
26913,Jade,
14413,Jamire,
14815,Janssen,
27014,Jasmine,
14112,Jean,
21814,Jeanne,
23712,Jeogun,
33113,Jin Kazama,
21811,Josephine,
15235,Jubelle,
13911,Julie,
14035,Jultan,
14015,Jultan,
15712,Juno,
30011,K1D,
10514,Kabilla,
12032,Kahli,
25112,Kaki,
24712,Karnal,
29112,Karuel and Lanoah,
24513,Kashmir,
27614,Kassandra,
13813,Katarina,
24112,KEN,
20412,Khmun,
25114,Kinki,
10911,Konamiya,
27214,Kovarci,
11035,Kro,
21015,Kroa,
17412,Kumar,
23312,Kunite,
14613,Lagmaron,
16612,Laika,
31311,Lamiella,
19815,Lanett,
19811,Lapis,
28613,Layla,
24914,Leah,
34715,Legolas,
34713,Legolas,
34711,Legolas,
16613,Leo,
19912,Lexy,
