代碼,圖示,英文,中文,屬性,職業,天生星,覺醒,收錄,強度,滿HP,滿ATK,滿DEF,SPD,暴率,暴傷,抵抗,命中,取得方式
30014,unit_icon_0146_1_4.png,51LV3R,,光,支援,5,覺醒,可召喚,B,11850,626,725,100,15,50,40,0,
30013,unit_icon_0146_1_3.png,570RM,,風,攻擊,5,覺醒,可召喚,B,10050,845,626,100,30,50,15,0,
30012,unit_icon_0146_1_2.png,7R1X,駭客,火,支援,5,覺醒,可召喚,A,11700,648,714,100,15,50,40,0,
25611,unit_icon_0078_1_1.png,Aaliyah,,水,支援,5,覺醒,可召喚,B,11205,615,780,99,15,50,40,0,
22211,unit_icon_0046_0_2.png,Abellio,阿貝里歐,水,防禦,5,覺醒,可召喚,A,10545,692,747,102,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
22311,unit_icon_0052_0_0.png,Abellio,,水,防禦,5,未覺醒,非常駐,A,10545,692,747,102,15,50,15,0,
22911,unit_icon_0049_0_4.png,Abigail,,水,攻擊,4,覺醒,可召喚,B,9225,736,626,103,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
11913,unit_icon_0009_2_4.png,Acasis,,風,支援,4,覺醒,可召喚,B,11370,571,648,104,15,50,15,0,Legendary Scroll / Wind Scroll / Mystical Scroll or Crystal Summon
32315,unit_icon_0177_1_5.png,Actaeon,,暗,防禦,5,覺醒,可召喚,B,10710,549,878,102,30,50,15,0,
20912,unit_icon_0041_1_1.png,Adrian,,火,支援,3,覺醒,可召喚,C,9060,659,549,101,15,50,15,0,Fire Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
26811,unit_icon_0099_1_1.png,Adriana,亞德里亞娜,水,支援,5,覺醒,可召喚,A,10710,736,692,111,15,50,15,0,
18811,unit_icon_0032_0_0.png,Aegir,,水,攻擊,4,覺醒,可召喚,B,10215,725,571,103,15,50,15,25,Guild Shop / Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
10113,unit_icon_0000_2_1.png,Aeilene,,風,支援,2,覺醒,可召喚,D,7905,604,516,104,15,50,15,0,Magic Shop / Secret Dungeon / Unknown Scroll or Social Summon
10133,unit_icon_0051_2_0.png,Aeilene,,風,支援,2,二次覺醒,可召喚,D,9885,725,648,104,15,50,15,0,Magic Shop / Secret Dungeon / Unknown Scroll or Social Summon
34212,unit_icon_0202_1_2.png,Agrenia,,火,支援,5,覺醒,可召喚,B,11370,681,703,103,15,50,40,0,
34112,unit_icon_0193_1_2.png,Agrius,,火,攻擊,4,覺醒,可召喚,B,9225,769,593,104,15,50,15,0,
13714,unit_icon_0014_3_0.png,Ahman,,光,體力,3,覺醒,可召喚,B,10710,549,549,101,15,50,15,0,Secret Dungeon / Scroll of Light and Darkness
28014,unit_icon_0115_1_4.png,Ahmed,,光,體力,4,覺醒,可召喚,B,11535,659,549,103,15,50,15,0,
19213,unit_icon_0032_2_2.png,Akhamamir,,風,攻擊,5,覺醒,可召喚,A,11370,812,571,100,30,50,15,0,Guild Shop
13312,unit_icon_0011_1_3.png,Akia,,火,攻擊,4,覺醒,可召喚,B,10380,758,527,106,15,50,15,0,Fusion / Legendary Scroll / Fire Scroll / Mystical Scroll or Crystal Summon
13814,unit_icon_0014_3_2.png,Akroma,阿卡洛瑪,光,防禦,5,覺醒,可召喚,B,10710,681,747,116,15,50,15,0,Scroll of Light and Darkness
30114,unit_icon_0145_1_4.png,Alesia,,光,攻擊,4,覺醒,可召喚,B,9885,769,549,104,15,50,15,0,
21515,unit_icon_0043_4_4.png,Alexandra,,暗,體力,5,覺醒,可召喚,B,12510,703,604,100,15,50,15,0,Scroll of Light and Darkness
21615,unit_icon_0044_4_0.png,Alexandra,,暗,體力,5,未覺醒,非常駐,B,12510,703,604,100,15,50,15,0,
26912,unit_icon_0097_1_2.png,Alice,,火,防禦,5,覺醒,可召喚,B,9555,604,900,101,15,50,40,0,
18911,unit_icon_0033_0_3.png,Alicia,,水,攻擊,5,覺醒,可召喚,B,9885,790,692,96,30,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
15211,unit_icon_0021_0_0.png,Allen,,水,體力,2,覺醒,可召喚,D,10050,461,516,98,15,50,15,0,Magic Shop / Secret Dungeon / Unknown Scroll or Social Summon
15231,unit_icon_0082_3_1.png,Allen,,水,體力,2,二次覺醒,可召喚,D,11535,604,659,98,15,50,15,0,
27314,unit_icon_0111_1_4.png,Altaïr,,光,攻擊,5,覺醒,可召喚,B,9390,900,615,98,15,50,40,0,
15412,unit_icon_0020_1_3.png,Amanda,,火,攻擊,3,覺醒,可召喚,C,9060,790,417,105,15,50,15,0,Secret Dungeon / Fire Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
20414,unit_icon_0038_3_1.png,Amarna,,光,支援,4,覺醒,可召喚,B,9885,681,637,101,15,50,15,0,Scroll of Light and Darkness
14901,unit_icon_0017_0_4.png,Amazon,,水,攻擊,3,未覺醒,可召喚,C,9225,681,351,101,15,50,15,0,Water Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
14902,unit_icon_0017_1_4.png,Amazon,,火,攻擊,3,未覺醒,可召喚,C,8895,670,384,101,15,50,15,0,Fire Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
14903,unit_icon_0017_2_4.png,Amazon,,風,攻擊,3,未覺醒,可召喚,C,9060,637,406,101,15,50,15,0,Guild Shop / Wind Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
14904,unit_icon_0017_3_4.png,Amazon,,光,攻擊,3,未覺醒,可召喚,C,9555,626,384,101,15,50,15,0,Scroll of Light and Darkness
14905,unit_icon_0017_4_4.png,Amazon,,暗,攻擊,3,未覺醒,可召喚,C,7410,736,417,101,15,50,15,0,Scroll of Light and Darkness
26111,unit_icon_0087_1_1.png,Amber,安柏,水,攻擊,5,覺醒,可召喚,A,10545,812,626,104,15,50,15,25,
20615,unit_icon_0039_4_0.png,Amduat,,暗,支援,4,覺醒,可召喚,B,10380,648,637,102,15,50,15,0,Scroll of Light and Darkness
21511,unit_icon_0043_0_4.png,Amelia,,水,體力,5,覺醒,可召喚,B,12345,637,681,100,15,50,15,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
21611,unit_icon_0044_0_0.png,Amelia,,水,體力,5,未覺醒,非常駐,B,12345,637,681,100,15,50,15,0,
16111,unit_icon_0022_0_4.png,Anavel,阿納貝爾,水,支援,5,覺醒,可召喚,S,10710,769,659,105,15,50,40,0,Legendary Scroll / Water Scroll / Mystical Scroll or Crystal Summon
29611,unit_icon_0150_1_1.png,Anders,,水,攻擊,5,覺醒,可召喚,B,9885,856,626,100,30,50,15,0,
11713,unit_icon_0006_2_3.png,Anduril,,風,攻擊,3,覺醒,可召喚,C,7080,823,516,98,15,50,15,0,Secret Dungeon / Wind Scroll / Mystical Scroll or Crystal Summon / Unknown Scroll or Social Summon
11733,unit_icon_0212_3_3.png,Anduril,,風,攻擊,3,二次覺醒,可召喚,B,8565,878,582,98,15,50,15,0,
26813,unit_icon_0099_1_3.png,Angela,安潔拉,風,支援,5,覺醒,可召喚,A,11205,670,725,96,15,50,40,0,
14201,unit_icon_0016_0_4.png,Angelmon,,水,素材,1,未覺醒,可召喚,D,165,11,11,0,0,0,0,0,Angel Garden / Hall of Water / Glory Shop
