類別,代碼,英文,中文
套裝,1,Energy,活力
套裝,2,Guard,守護
套裝,3,Swift,迅速
套裝,4,Blade,刀刃
套裝,5,Rage,暴擊
套裝,6,Focus,命中
套裝,7,Endure,忍耐
套裝,8,Fatal,致命
套裝,10,Despair,絕望
套裝,11,Vampire,吸血
套裝,13,Violent,暴怒
套裝,14,Nemesis,復仇
套裝,15,Will,意志
套裝,16,Shield,護盾
套裝,17,Revenge,反擊
套裝,18,Destroy,破壞
套裝,19,Fight,戰意
套裝,20,Determination,決心
套裝,21,Enhance,強化
套裝,22,Accuracy,精準
套裝,23,Tolerance,忍受
套裝,24,Seal,封印
套裝,25,Intangible,
套裝,99,Immemorial,無形
屬性,1,HP,體力
屬性,2,HP%,體力%
屬性,3,ATK,攻擊力
屬性,4,ATK%,攻擊力%
屬性,5,DEF,防禦力
屬性,6,DEF%,防禦力%
屬性,8,SPD,攻擊速度
屬性,9,Critical Rate%,暴擊率%
屬性,10,Critical Damage%,暴擊傷害%
屬性,11,Resistance%,效果抵抗%
屬性,12,Accuracy%,效果命中%
品質,1,Common,普通
品質,2,Magic,魔法
品質,3,Rare,稀有
品質,4,Hero,英雄
品質,5,Legend,傳說
品質,11,Ancient Common,上古普通
品質,12,Ancient Magic,上古魔法
品質,13,Ancient Rare,上古稀有
品質,14,Ancient Hero,上古英雄
品質,15,Ancient Legend,上古傳說
